1 1 3 1
2 1 4 1
3 3 6 5
4 3 9 6
5 4 10 9
6 4 11 9
7 2 12 9
8 1 13 12
9 1 14 12
10 1 15 12
11 1 2 1
12 2 5 1
13 4 7 5
14 4 8 5
